Detection Time (ns),Counts,
0.0,294.0,
25.0,293.0,
50.0,309.0,
75.0,314.0,
100.0,312.0,
125.0,303.0,
150.0,280.0,
175.0,273.0,
200.0,288.0,
225.0,294.0,
250.0,291.0,
275.0,294.0,
300.0,281.0,
325.0,271.0,
350.0,285.0,
375.0,284.0,
400.0,303.0,
425.0,335.0,
450.0,263.0,
475.0,301.0,
500.0,277.0,
525.0,300.0,
550.0,274.0,
575.0,302.0,
600.0,296.0,
625.0,283.0,
650.0,275.0,
675.0,290.0,
700.0,323.0,
725.0,282.0,
750.0,300.0,
775.0,290.0,
800.0,311.0,
825.0,1009.0,
850.0,5667.0,
875.0,8189.0,
900.0,8759.0,
925.0,9039.0,
950.0,9154.0,
975.0,9151.0,
1000.0,8985.0,
1025.0,8899.0,
1050.0,8733.0,
1075.0,8769.0,
1100.0,8629.0,
1125.0,8689.0,
1150.0,8791.0,
1175.0,8534.0,
1200.0,8741.0,
1225.0,8600.0,
1250.0,8671.0,
1275.0,8591.0,
1300.0,8613.0,
1325.0,8323.0,
1350.0,8318.0,
1375.0,8363.0,
1400.0,8484.0,
1425.0,8443.0,
1450.0,8594.0,
1475.0,8571.0,
1500.0,8535.0,
1525.0,8463.0,
1550.0,8264.0,
1575.0,8507.0,
1600.0,8510.0,
1625.0,8552.0,
1650.0,8372.0,
1675.0,8457.0,
1700.0,8369.0,
1725.0,8358.0,
1750.0,8349.0,
1775.0,8418.0,
1800.0,8447.0,
1825.0,8519.0,
1850.0,8669.0,
1875.0,8501.0,
1900.0,8471.0,
1925.0,8707.0,
1950.0,8649.0,
1975.0,8579.0,
2000.0,8379.0,
2025.0,8515.0,
2050.0,8454.0,
2075.0,8390.0,
2100.0,8464.0,
2125.0,8526.0,
2150.0,8632.0,
2175.0,8303.0,
2200.0,8424.0,
2225.0,8607.0,
2250.0,8482.0,
2275.0,8549.0,
2300.0,8486.0,
2325.0,8538.0,
2350.0,8386.0,
2375.0,8529.0,
2400.0,8623.0,
2425.0,8491.0,
2450.0,8457.0,
2475.0,8485.0,
2500.0,8534.0,
2525.0,8694.0,
2550.0,8408.0,
2575.0,8536.0,
2600.0,8457.0,
2625.0,8369.0,
2650.0,8367.0,
2675.0,8484.0,
2700.0,8766.0,
2725.0,8426.0,
2750.0,8582.0,
2775.0,8535.0,
2800.0,8471.0,
2825.0,5340.0,
2850.0,1404.0,
2875.0,609.0,
2900.0,508.0,
2925.0,481.0,
2950.0,445.0,
2975.0,414.0,
3000.0,438.0,
3025.0,428.0,
3050.0,430.0,
3075.0,401.0,
3100.0,421.0,
3125.0,408.0,
3150.0,398.0,
3175.0,409.0,
3200.0,375.0,
3225.0,362.0,
3250.0,401.0,
3275.0,406.0,
3300.0,377.0,
